months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital.gains,capital.loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
256,40,686622,2005-08-05,IN,250/500,500,1290.73,0.0,421560,FEMALE,Associate,prof-specialty,basketball,wife,28096,40585,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,10,2,?,1,1,NO,90030.0,8840,14770,42900,Mercedes,ML350,2007,N
339,36,287987,2004-03-29,IL,500/1000,2000,1111.34,0.0,479076,MALE,Masters,transport-moving,video-games,wife,0,0,2015-01-19,Vehicle Theft,?,Trivial Damage,,SC,Northbrook,5532 Weaver Ridge,10,1,?,2,4,?,32720.0,1900,0,25290,Suburu,Forrestor,2004,N
462,60,844485,2003-10-02,OH,250/500,2000,1212.25,5000000.0,599086,MALE,MD,exec-managerial,video-games,own-child,28153,0,2015-01-01,Multi-vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,7571 Elm Ridge,17,4,?,1,2,?,82100.0,15000,11000,42730,Volkswagen,Jetta,2008,N
220,54,1122115,2013-04-28,IL,250/500,2000,1643.21,8000000.0,446900,MALE,College,transport-moving,hiking,not-in-family,47870,0,2015-01-24,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,8770 1st Lane,12,2,NO,2,0,NO,63900.0,7630,8400,43350,Saab,95,2003,N
306,47,972378,2009-08-02,OH,500/1000,1000,1329.97,6000000.0,520003,FEMALE,Associate,prof-specialty,video-games,husband,16828,0,2015-01-29,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Springfield,4931 Maple Drive,8,3,NO,1,1,NO,54600.0,14300,3330,21700,Accura,MDX,1999,N
406,60,1114570,2004-11-04,OH,100/300,1000,1735.96,1000000.0,459826,MALE,MD,farming-fishing,cross-fit,other-relative,0,28341,2015-01-05,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Northbend,3167 4th Ridge,10,2,?,0,2,YES,54460.0,6490,2680,52400,Saab,95,1995,Y
53,26,400994,2001-04-03,IN,250/500,1000,1212.75,0.0,510469,FEMALE,Associate,adm-clerical,bungie-jumping,husband,34093,23048,2015-01-02,Vehicle Theft,?,Trivial Damage,Police,VA,Columbus,3492 Britain St,17,3,?,1,0,?,13900.0,100,3800,1360,Accura,MDX,2005,N
310,46,622153,2014-12-13,OH,100/300,500,1072.05,0.0,451506,FEMALE,MD,prof-specialty,golf,unmarried,0,0,2015-02-06,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Hillsdale,8834 Elm Drive,14,1,NO,1,0,?,55960.0,12100,8500,47900,Nissan,Ultima,1998,N
340,57,783573,2009-06-17,OH,250/500,1000,1182.96,0.0,446941,FEMALE,College,machine-op-inspct,kayaking,wife,16840,0,2015-02-22,Parked Car,?,Trivial Damage,,WV,Columbus,3998 Flute St,10,1,?,0,0,YES,12280.0,8700,0,18540,Saab,95,1997,N
201,36,562209,2007-04-25,IN,250/500,2000,1148.35,6000000.0,592963,FEMALE,High School,protective-serv,board-games,unmarried,12885,0,2015-01-18,Parked Car,?,Trivial Damage,Police,NY,Springfield,4116 Embaracadero Lane,19,1,NO,1,3,NO,8880.0,100,3380,7940,Chevrolet,Malibu,2015,N
472,51,11443,1991-07-20,IL,250/500,500,1279.61,1000000.0,412598,MALE,Masters,priv-house-serv,dancing,wife,0,0,2015-02-03,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,2509 Rock Drive,16,1,NO,1,0,YES,90800.0,7400,6900,30600,Dodge,Neon,1996,N
15,13,269313,1996-09-21,IL,100/300,1000,1763.35,3000000.0,456563,MALE,PhD,adm-clerical,reading,not-in-family,0,0,2015-02-18,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,9484 Pine Drive,15,1,NO,3,3,?,93400.0,6440,13170,50200,Volkswagen,Jetta,2006,Y
183,54,773483,1999-12-07,IL,250/500,500,1803.2,0.0,479845,MALE,High School,handlers-cleaners,movies,husband,7909,8056,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,0,1,?,2,2,YES,27600.0,880,4900,33800,BMW,3 Series,2009,N
296,46,765187,1994-04-28,IN,100/300,1000,1121.75,0.0,474345,FEMALE,JD,priv-house-serv,movies,husband,0,0,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,3,2,YES,2,0,?,44640.0,16000,17200,67010,Suburu,Forrestor,1998,N
156,38,784116,2001-05-16,OH,250/500,500,1352.19,8000000.0,390072,MALE,College,machine-op-inspct,golf,husband,47016,0,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,15,3,NO,0,2,?,100960.0,6800,18100,76300,Volkswagen,Passat,2011,Y
66,36,934837,1992-07-23,OH,500/1000,1000,1246.53,0.0,464793,MALE,MD,protective-serv,camping,wife,10043,0,2015-02-13,Parked Car,?,Trivial Damage,Police,WV,Riverwood,1553 Lincoln St,1,1,?,2,0,?,3300.0,4200,0,4490,Jeep,Grand Cherokee,2005,N
324,51,501125,1998-01-28,IL,500/1000,2000,959.3,8000000.0,434031,MALE,College,transport-moving,chess,unmarried,0,0,2015-02-04,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,6738 Francis Hwy,15,3,?,0,0,YES,62100.0,8970,9960,43580,Suburu,Forrestor,2015,N
271,37,652095,1990-09-20,OH,250/500,1000,713.19,1000000.0,502017,MALE,MD,tech-support,movies,husband,0,0,2015-01-22,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,5475 Rock Lane,10,1,YES,1,1,YES,51100.0,16640,10300,62400,Ford,Escape,2006,N
117,36,880423,1993-10-31,IN,500/1000,1000,1234.35,7000000.0,482625,FEMALE,Associate,sales,reading,other-relative,20037,0,2015-02-18,Parked Car,?,Minor Damage,,NC,Arlington,4055 2nd Drive,9,2,NO,1,1,?,27100.0,0,2040,12410,Dodge,Neon,2008,N
355,38,684196,2002-11-20,IN,250/500,500,1607.76,1000000.0,398518,MALE,High School,priv-house-serv,bungie-jumping,husband,0,62163,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,15,3,YES,0,1,NO,43600.0,12300,7600,39000,Accura,TL,2002,N
106,37,57595,1994-02-03,IL,100/300,2000,757.8,2000000.0,407635,FEMALE,Masters,exec-managerial,camping,other-relative,0,4655,2015-01-19,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Springfield,2756 Britain Hwy,19,3,?,1,0,NO,55180.0,10460,10100,42970,Mercedes,ML350,2000,Y
488,63,952107,2012-08-25,IN,250/500,500,897.09,1000000.0,670162,MALE,Masters,other-service,skydiving,not-in-family,0,1259,2015-02-21,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,3664 Francis Ridge,13,1,NO,2,3,NO,92740.0,13280,2170,48050,Mercedes,ML350,1994,N
296,39,751538,2007-02-09,IN,500/1000,2000,1182.03,0.0,452515,MALE,High School,exec-managerial,cross-fit,other-relative,7796,0,2015-01-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Arlington,7511 1st Ave,8,4,?,1,2,YES,43200.0,420,9400,35000,BMW,M5,2006,Y
302,52,959912,1995-12-17,IL,100/300,1000,1659.88,0.0,601843,FEMALE,PhD,farming-fishing,kayaking,wife,5450,24674,2015-01-04,Vehicle Theft,?,Trivial Damage,,SC,Columbus,1992 Britain Drive,7,1,NO,0,0,NO,7300.0,1400,4500,17200,Nissan,Maxima,1999,N
324,39,513439,1992-03-03,OH,500/1000,500,905.72,1000000.0,382592,MALE,Masters,exec-managerial,kayaking,not-in-family,0,0,2015-01-30,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Northbend,4477 5th Ave,13,4,YES,3,0,YES,83100.0,6500,8720,40500,Accura,RSX,2005,Y
92,32,125399,1990-08-09,IL,250/500,500,2025.46,0.0,420253,MALE,High School,other-service,basketball,own-child,0,0,2015-01-28,Vehicle Theft,?,Trivial Damage,,VA,Hillsdale,4453 Best Ave,14,2,?,0,0,?,13720.0,1100,4500,9700,Audi,A5,1999,N
441,63,464607,2006-11-21,OH,500/1000,500,1124.17,7000000.0,486247,MALE,Associate,priv-house-serv,chess,other-relative,100350,60571,2015-02-13,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,4492 Andromedia Ave,14,1,NO,2,1,?,54900.0,8140,7850,58200,Mercedes,E400,2009,Y
45,34,681860,2006-05-14,IN,100/300,500,1148.8,0.0,463085,MALE,Masters,machine-op-inspct,movies,not-in-family,0,0,2015-02-14,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,3770 Flute Drive,22,3,?,3,1,?,57230.0,20000,14900,41520,Suburu,Legacy,2012,N
53,41,711134,2001-04-09,OH,500/1000,2000,1165.27,0.0,389645,FEMALE,MD,prof-specialty,reading,wife,1107,1154,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,9138 1st St,7,3,?,1,0,?,17830.0,12430,8560,37000,Dodge,Neon,2003,Y
92,25,32548,2009-09-08,IN,100/300,500,1355.33,5000000.0,646279,FEMALE,College,transport-moving,skydiving,wife,0,0,2015-02-15,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3110 Lincoln Lane,6,4,?,2,3,NO,84140.0,13900,11500,35110,Honda,Civic,1992,N
45,10,69280,1993-06-06,IL,250/500,2000,1460.3,2000000.0,437817,FEMALE,Associate,tech-support,exercise,own-child,0,72324,2015-02-02,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,20,1,NO,0,3,?,85000.0,9360,21900,69890,Honda,Accord,2010,Y
21,26,838944,2011-12-19,IN,250/500,1000,954.46,1000000.0,454125,MALE,College,prof-specialty,dancing,wife,15603,751,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Arlington,5459 MLK Ave,3,2,YES,0,0,YES,51840.0,11300,7420,38800,Nissan,Pathfinder,2005,N
72,21,224383,1991-12-28,IN,500/1000,2000,1408.22,1000000.0,460234,FEMALE,High School,handlers-cleaners,camping,own-child,45341,0,2015-03-01,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,7428 Sky Hwy,16,2,NO,1,1,?,67410.0,13100,14400,57980,Volkswagen,Passat,1995,N
316,61,77974,1995-09-19,OH,250/500,1000,1632.7,1000000.0,648191,FEMALE,JD,craft-repair,movies,unmarried,3036,0,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,6,3,NO,1,4,?,37720.0,4500,9300,20760,Nissan,Ultima,2013,N
153,31,107769,2010-06-28,OH,100/300,500,1106.69,0.0,612529,MALE,Associate,protective-serv,reading,other-relative,27838,54473,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,18,2,YES,0,3,NO,24600.0,4970,0,29660,Nissan,Pathfinder,2002,N
239,37,1045356,2006-02-06,IN,250/500,2000,888.12,2000000.0,464592,MALE,JD,farming-fishing,hiking,unmarried,0,51444,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,2500 Tree St,14,1,?,1,2,?,33300.0,0,400,32010,Nissan,Maxima,1994,N
221,31,205909,1998-02-10,OH,100/300,500,1234.76,3000000.0,420566,FEMALE,High School,transport-moving,bungie-jumping,husband,372,54001,2015-01-27,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,11,1,YES,1,2,NO,6200.0,780,3390,410,Saab,95,2001,N
97,29,837790,2007-03-03,OH,500/1000,2000,1360.78,0.0,441125,FEMALE,College,sales,sleeping,husband,0,55372,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,PA,Columbus,1809 Sky St,15,3,NO,1,1,?,94400.0,9180,0,56900,Nissan,Ultima,1998,N
100,43,501454,2008-11-09,IN,250/500,500,759.08,0.0,579339,FEMALE,MD,prof-specialty,camping,husband,0,0,2015-01-20,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Riverwood,2037 5th Drive,21,2,NO,0,1,NO,49890.0,12000,11600,25500,Suburu,Forrestor,1997,N
15,37,504728,2009-09-16,IL,100/300,500,1323.37,2000000.0,474254,MALE,High School,armed-forces,board-games,own-child,0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2644 MLK Drive,18,3,?,1,2,?,38620.0,12500,6780,27900,Saab,92x,1995,Y
90,25,562528,1996-07-23,IL,500/1000,2000,1158.89,1000000.0,578992,MALE,College,priv-house-serv,dancing,unmarried,70604,0,2015-02-02,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbend,1951 Best Ave,7,4,YES,0,1,NO,40100.0,9300,8800,34460,Toyota,Camry,2011,N
55,22,302064,1990-08-02,IN,500/1000,500,1325.0,8000000.0,453010,MALE,High School,farming-fishing,reading,own-child,25666,32720,2015-02-14,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,6738 Washington Hwy,3,3,NO,2,3,NO,34400.0,600,7600,43240,Accura,TL,2010,Y
447,53,129396,1999-09-29,OH,250/500,1000,1375.91,0.0,623842,MALE,Associate,armed-forces,reading,other-relative,20353,0,2015-02-24,Vehicle Theft,?,Minor Damage,,VA,Northbrook,4574 Britain Hwy,0,1,YES,0,1,YES,1900.0,200,340,3550,Ford,F150,1997,N
23,20,439554,2012-10-09,IN,500/1000,1000,1227.92,0.0,415857,MALE,High School,handlers-cleaners,hiking,husband,12304,0,2015-02-05,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,6117 4th Ave,20,1,?,0,1,?,123300.0,11900,14500,52750,Toyota,Corolla,2006,N
171,23,344070,1996-09-21,IL,100/300,1000,1273.62,2000000.0,494352,MALE,PhD,adm-clerical,reading,not-in-family,0,0,2015-02-18,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,9484 Pine Drive,11,2,NO,2,2,?,76790.0,10850,12300,57100,Volkswagen,Jetta,2008,Y
354,42,373470,2004-03-29,IL,500/1000,2000,1053.24,0.0,518736,MALE,Masters,transport-moving,video-games,wife,16990,0,2015-01-19,Vehicle Theft,?,Trivial Damage,,SC,Northbrook,5532 Weaver Ridge,7,1,?,2,2,?,3000.0,0,0,18960,Suburu,Forrestor,1996,N
220,45,481000,2011-12-30,IL,250/500,500,1520.49,2000000.0,583628,FEMALE,College,tech-support,hiking,wife,104866,34940,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Fire,OH,Springfield,7393 Washington St,4,1,YES,2,1,YES,41500.0,10300,5300,30500,Honda,Civic,2004,Y
52,27,604032,1995-03-26,IL,250/500,2000,1441.91,0.0,478014,MALE,College,transport-moving,video-games,unmarried,0,2729,2015-02-14,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Arlington,1437 3rd Lane,22,1,YES,0,2,?,58100.0,0,7640,36400,Accura,MDX,2001,N
473,52,402594,1992-04-28,IL,100/300,500,1223.47,4000000.0,522221,MALE,Masters,transport-moving,board-games,wife,0,0,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Northbrook,2397 Cherokee Ave,14,1,YES,3,1,NO,89200.0,17400,18640,52100,Volkswagen,Jetta,2013,Y
35,29,530046,2001-02-20,IN,500/1000,2000,998.82,2000000.0,509203,MALE,JD,exec-managerial,kayaking,other-relative,0,0,2015-02-05,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbend,2492 Lincoln Lane,16,2,?,0,1,YES,88700.0,15100,7640,50200,Jeep,Wrangler,2002,N
105,36,1000474,1996-07-08,IL,500/1000,1000,1198.64,0.0,475373,FEMALE,High School,adm-clerical,kayaking,not-in-family,23470,17790,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,2,1,YES,1,1,?,75800.0,13900,10500,59370,Accura,MDX,2010,N
259,26,667144,2012-01-05,IL,100/300,2000,1780.24,0.0,520490,FEMALE,College,adm-clerical,skydiving,other-relative,35527,61253,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,18,1,YES,1,1,NO,66430.0,3800,7900,66900,Chevrolet,Silverado,1994,Y
203,20,523451,1993-10-29,IN,500/1000,1000,1588.81,0.0,526965,MALE,Associate,protective-serv,reading,other-relative,0,98134,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,15,1,YES,1,1,YES,81190.0,9820,15200,43800,Suburu,Forrestor,2001,Y
405,44,498972,1991-08-07,IL,500/1000,500,1286.72,8000000.0,558408,FEMALE,Associate,tech-support,exercise,unmarried,0,45093,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,Northbrook,2986 MLK Drive,1,1,NO,1,1,?,5180.0,1000,100,1800,Chevrolet,Tahoe,2008,N
215,34,583406,2008-02-25,OH,500/1000,2000,1621.55,1000000.0,472252,MALE,High School,armed-forces,movies,unmarried,35349,0,2015-02-21,Vehicle Theft,?,Minor Damage,,WV,Arlington,8306 1st Drive,2,2,YES,1,3,NO,17710.0,3800,0,700,Toyota,Corolla,2005,N
189,53,722011,2009-06-22,IN,250/500,1000,1506.31,0.0,430364,MALE,PhD,exec-managerial,golf,other-relative,51736,17999,2015-01-25,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Arlington,8758 5th St,10,3,?,1,0,NO,90170.0,3200,5400,70000,Toyota,Highlander,2012,N
207,56,503504,1991-08-17,OH,100/300,2000,1596.49,0.0,526654,MALE,MD,other-service,dancing,wife,0,0,2015-02-17,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,7954 Tree Ridge,1,1,?,2,2,NO,44600.0,11290,8100,61900,BMW,M5,2011,N
114,38,97884,2009-02-20,OH,250/500,2000,1556.82,0.0,622507,FEMALE,JD,priv-house-serv,exercise,unmarried,11348,47840,2015-01-28,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,9910 Maple Ave,13,2,YES,1,4,YES,53610.0,9700,12400,52260,Jeep,Grand Cherokee,2008,N
20,34,857450,1999-12-12,OH,250/500,500,910.5,0.0,577454,FEMALE,College,sales,dancing,wife,30700,49967,2015-01-15,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Arlington,9611 Pine Ridge,16,1,NO,0,1,YES,39990.0,7390,10000,33570,Accura,MDX,2004,Y
347,48,128616,2005-07-01,OH,500/1000,1000,927.04,1000000.0,411695,FEMALE,Masters,priv-house-serv,board-games,other-relative,29599,0,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,4618 Flute Ave,12,3,NO,0,3,NO,64100.0,5700,6390,33600,Audi,A3,2011,N
231,31,181170,2008-11-05,IN,250/500,500,1275.98,7000000.0,444516,FEMALE,High School,tech-support,golf,husband,4960,0,2015-02-02,Parked Car,?,Trivial Damage,,NY,Riverwood,5743 4th Ridge,9,1,NO,0,0,NO,1000.0,7100,2100,40360,Saab,92x,2004,N
207,43,479661,2002-02-10,OH,250/500,500,1626.54,1000000.0,672448,MALE,PhD,adm-clerical,sleeping,unmarried,70137,0,2015-01-27,Parked Car,?,Minor Damage,,NC,Northbend,4431 Rock St,3,1,NO,1,3,YES,31620.0,6600,0,2600,Chevrolet,Tahoe,2013,N
153,31,249990,1993-09-30,IL,500/1000,1000,1230.85,0.0,520302,MALE,JD,handlers-cleaners,basketball,husband,75502,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,15,3,NO,0,3,NO,21400.0,12920,3260,18490,Honda,Accord,1998,N
82,37,646167,2006-02-21,IN,100/300,1000,1103.13,1000000.0,475494,FEMALE,Masters,adm-clerical,chess,wife,8287,0,2015-02-26,Parked Car,?,Minor Damage,,NC,Arlington,5480 3rd Ridge,1,2,?,0,0,NO,26900.0,0,2700,510,BMW,X5,2010,Y
118,24,695307,1999-12-07,OH,250/500,2000,1348.63,5000000.0,456630,FEMALE,High School,sales,board-games,own-child,11794,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,17,1,YES,0,2,?,62000.0,6470,4110,44700,Saab,93,1991,N
16,26,699364,1999-12-21,OH,500/1000,1000,1336.59,0.0,435143,MALE,Associate,other-service,base-jumping,other-relative,0,82857,2015-02-11,Parked Car,?,Trivial Damage,,NY,Arlington,4558 3rd Hwy,6,1,?,0,1,?,10400.0,3180,4700,5000,Honda,CRV,2012,N
76,38,1159991,2002-07-09,IN,250/500,2000,1431.17,0.0,436648,MALE,JD,adm-clerical,polo,husband,74259,0,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,1128 Maple Lane,15,3,YES,1,3,YES,43400.0,11420,13500,29000,Dodge,RAM,2009,N
51,24,150715,1990-11-03,OH,250/500,2000,715.77,0.0,438013,MALE,Associate,armed-forces,board-games,other-relative,0,111225,2015-01-01,Vehicle Theft,?,Trivial Damage,,PA,Springfield,6359 MLK Ridge,4,2,YES,1,2,NO,33300.0,3100,7890,11960,Mercedes,E400,2010,N
356,44,725527,2006-04-13,OH,500/1000,1000,1156.62,0.0,338900,FEMALE,High School,adm-clerical,polo,own-child,20500,4306,2015-01-25,Parked Car,?,Minor Damage,Police,SC,Hillsdale,1919 4th Lane,7,1,NO,1,3,YES,12190.0,0,0,21310,Volkswagen,Passat,2005,Y
291,43,127297,1994-06-07,IN,100/300,500,1646.82,0.0,691729,MALE,MD,prof-specialty,yachting,husband,8591,0,2015-01-21,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Arlington,6260 5th Lane,4,1,YES,0,1,?,67000.0,1300,5000,46900,Honda,Civic,1998,Y
135,27,573979,2002-07-18,IN,100/300,500,757.63,5000000.0,620703,MALE,JD,exec-managerial,chess,not-in-family,56116,0,2015-01-07,Vehicle Theft,?,Minor Damage,,VA,Northbrook,3790 Andromedia Hwy,8,2,YES,3,1,?,14200.0,2300,2800,5600,Suburu,Forrestor,2002,Y
203,29,99996,2007-05-06,IL,500/1000,2000,637.21,0.0,480046,FEMALE,PhD,sales,video-games,husband,0,34466,2015-01-13,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Hillsdale,9245 Weaver Ridge,9,1,NO,0,3,?,53800.0,11300,2370,34300,Suburu,Forrestor,2006,N
16,27,592511,2011-09-17,IL,250/500,2000,1127.08,5000000.0,591148,FEMALE,Masters,sales,sleeping,husband,0,29824,2015-01-14,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Northbend,7756 Solo Drive,3,3,?,1,2,?,45640.0,7230,7200,33770,Saab,92x,1999,Y
478,62,614634,1990-10-07,OH,500/1000,1000,1200.89,1000000.0,552800,FEMALE,Associate,prof-specialty,basketball,husband,10680,25998,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,4793 4th Ridge,18,2,?,0,2,YES,99300.0,3990,18700,39600,Saab,95,2005,Y
215,31,1019397,2003-02-17,OH,250/500,500,1404.73,1000000.0,407938,FEMALE,Masters,armed-forces,bungie-jumping,other-relative,0,0,2015-01-23,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,Arlington,7629 5th St,5,2,?,2,4,YES,85800.0,1530,7100,49890,Suburu,Impreza,1994,N
